Country Name,Country Code,Series Name,Series Code,2022 [YR2022],2023 [YR2023]
Afghanistan,AFG,Control of Corruption: Estimate,CC.EST,-1.18368434906006,-1.15493178367615
Afghanistan,AFG,Control of Corruption: Number of Sources,CC.NO.SRC,8,8
Afghanistan,AFG,Control of Corruption: Percentile Rank,CC.PER.RNK,12.2641506195068,13.6792449951172
Afghanistan,AFG,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",CC.PER.RNK.LOWER,4.71698093414307,6.13207530975342
Afghanistan,AFG,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",CC.PER.RNK.UPPER,20.2830181121826,20.7547168731689
Afghanistan,AFG,Control of Corruption: Standard Error,CC.STD.ERR,0.173358500003815,0.173359021544456
Afghanistan,AFG,Government Effectiveness: Estimate,GE.EST,-1.88003480434418,-1.98701369762421
Afghanistan,AFG,Government Effectiveness: Number of Sources,GE.NO.SRC,6,6
Afghanistan,AFG,Government Effectiveness: Percentile Rank,GE.PER.RNK,1.88679242134094,1.41509437561035
Afghanistan,AFG,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",GE.PER.RNK.LOWER,0,0
Afghanistan,AFG,"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",GE.PER.RNK.UPPER,8.49056625366211,6.60377359390259
Afghanistan,AFG,Government Effectiveness: Standard Error,GE.STD.ERR,0.284960269927979,0.291137188673019
Afghanistan,AFG,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-2.54495596885681,-2.48408055305481
Afghanistan,AFG,Political Stability and Absence of Violence/Terrorism: Number of Sources,PV.NO.SRC,5,5
Afghanistan,AFG,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,0.943396210670471,1.42180097103119
Afghanistan,AFG,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Lower Bound of 90% Confidence Interval",PV.PER.RNK.LOWER,0,0
Afghanistan,AFG,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Upper Bound of 90% Confidence Interval",PV.PER.RNK.UPPER,4.24528312683105,4.7393364906311
Afghanistan,AFG,Political Stability and Absence of Violence/Terrorism: Standard Error,PV.STD.ERR,0.240797773003578,0.234415784478188
Afghanistan,AFG,Regulatory Quality: Estimate,RQ.EST,-1.27180624008179,-1.26642525196075
Afghanistan,AFG,Regulatory Quality: Number of Sources,RQ.NO.SRC,6,6
Afghanistan,AFG,Regulatory Quality: Percentile Rank,RQ.PER.RNK,8.96226406097412,9.43396186828613
Afghanistan,AFG,"Regulatory Quality: Percentile Rank, Lower Bound of 90% Confidence Interval",RQ.PER.RNK.LOWER,3.77358484268188,4.24528312683105
Afghanistan,AFG,"Regulatory Quality: Percentile Rank, Upper Bound of 90% Confidence Interval",RQ.PER.RNK.UPPER,18.3962268829346,19.3396224975586
Afghanistan,AFG,Regulatory Quality: Standard Error,RQ.STD.ERR,0.22212877869606,0.219980090856552
Afghanistan,AFG,Rule of Law: Estimate,RL.EST,-1.65984559059143,-1.64964091777802
Afghanistan,AFG,Rule of Law: Number of Sources,RL.NO.SRC,9,9
Afghanistan,AFG,Rule of Law: Percentile Rank,RL.PER.RNK,5.18867921829224,5.18867921829224
Afghanistan,AFG,"Rule of Law: Percentile Rank, Lower Bound of 90% Confidence Interval",RL.PER.RNK.LOWER,1.41509437561035,1.41509437561035
Afghanistan,AFG,"Rule of Law: Percentile Rank, Upper Bound of 90% Confidence Interval",RL.PER.RNK.UPPER,7.07547187805176,7.07547187805176
Afghanistan,AFG,Rule of Law: Standard Error,RL.STD.ERR,0.171497702598572,0.171297326683998
Afghanistan,AFG,Voice and Accountability: Estimate,VA.EST,-1.75352871417999,-1.85290133953094
Afghanistan,AFG,Voice and Accountability: Number of Sources,VA.NO.SRC,9,9
Afghanistan,AFG,Voice and Accountability: Percentile Rank,VA.PER.RNK,2.4154589176178,1.96078431606293
Afghanistan,AFG,"Voice and Accountability: Percentile Rank, Lower Bound of 90% Confidence Interval",VA.PER.RNK.LOWER,0,0
Afghanistan,AFG,"Voice and Accountability: Percentile Rank, Upper Bound of 90% Confidence Interval",VA.PER.RNK.UPPER,6.7632851600647,4.41176462173462
Afghanistan,AFG,Voice and Accountability: Standard Error,VA.STD.ERR,0.132442235946655,0.129422470927238
Albania,ALB,Control of Corruption: Estimate,CC.EST,-0.408189445734024,-0.332218527793884
Albania,ALB,Control of Corruption: Number of Sources,CC.NO.SRC,9,9
Albania,ALB,Control of Corruption: Percentile Rank,CC.PER.RNK,38.6792449951172,43.3962249755859
Albania,ALB,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",CC.PER.RNK.LOWER,26.8867931365967,29.7169818878174
Albania,ALB,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",CC.PER.RNK.UPPER,50,51.886791229248
Albania,ALB,Control of Corruption: Standard Error,CC.STD.ERR,0.158062413334846,0.158822014927864
Albania,ALB,Government Effectiveness: Estimate,GE.EST,0.0645405352115631,0.250855356454849
Albania,ALB,Government Effectiveness: Number of Sources,GE.NO.SRC,6,6
Albania,ALB,Government Effectiveness: Percentile Rank,GE.PER.RNK,56.1320762634277,60.3773574829102
Albania,ALB,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",GE.PER.RNK.LOWER,35.8490562438965,42.9245300292969
Albania,ALB,"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",GE.PER.RNK.UPPER,68.3962249755859,75
Albania,ALB,Government Effectiveness: Standard Error,GE.STD.ERR,0.267504096031189,0.280171364545822
Albania,ALB,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.106261312961578,0.183348968625069
Albania,ALB,Political Stability and Absence of Violence/Terrorism: Number of Sources,PV.NO.SRC,6,6
Albania,ALB,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,49.5283012390137,51.6587677001953
Albania,ALB,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Lower Bound of 90% Confidence Interval",PV.PER.RNK.LOWER,35.8490562438965,40.2843589782715
Albania,ALB,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Upper Bound of 90% Confidence Interval",PV.PER.RNK.UPPER,60.8490562438965,63.5071105957031
Albania,ALB,Political Stability and Absence of Violence/Terrorism: Standard Error,PV.STD.ERR,0.233049780130386,0.227244794368744
Albania,ALB,Regulatory Quality: Estimate,RQ.EST,0.159353822469711,0.171953663229942
Albania,ALB,Regulatory Quality: Number of Sources,RQ.NO.SRC,7,7
Albania,ALB,Regulatory Quality: Percentile Rank,RQ.PER.RNK,57.5471687316895,58.4905662536621
Albania,ALB,"Regulatory Quality: Percentile Rank, Lower Bound of 90% Confidence Interval",RQ.PER.RNK.LOWER,43.8679237365723,44.3396224975586
Albania,ALB,"Regulatory Quality: Percentile Rank, Upper Bound of 90% Confidence Interval",RQ.PER.RNK.UPPER,68.8679275512695,68.8679275512695
Albania,ALB,Regulatory Quality: Standard Error,RQ.STD.ERR,0.225545197725296,0.225275650620461
Albania,ALB,Rule of Law: Estimate,RL.EST,-0.165585100650787,-0.164097368717194
Albania,ALB,Rule of Law: Number of Sources,RL.NO.SRC,10,10
Albania,ALB,Rule of Law: Percentile Rank,RL.PER.RNK,47.1698112487793,45.7547187805176
Albania,ALB,"Rule of Law: Percentile Rank, Lower Bound of 90% Confidence Interval",RL.PER.RNK.LOWER,38.6792449951172,36.7924537658691
Albania,ALB,"Rule of Law: Percentile Rank, Upper Bound of 90% Confidence Interval",RL.PER.RNK.UPPER,54.7169799804688,54.2452812194824
Albania,ALB,Rule of Law: Standard Error,RL.STD.ERR,0.157532021403313,0.159582436084747
Albania,ALB,Voice and Accountability: Estimate,VA.EST,0.141740188002586,0.168997228145599
Albania,ALB,Voice and Accountability: Number of Sources,VA.NO.SRC,10,10
Albania,ALB,Voice and Accountability: Percentile Rank,VA.PER.RNK,52.1739120483398,53.9215698242188
Albania,ALB,"Voice and Accountability: Percentile Rank, Lower Bound of 90% Confidence Interval",VA.PER.RNK.LOWER,42.9951705932617,45.5882339477539
Albania,ALB,"Voice and Accountability: Percentile Rank, Upper Bound of 90% Confidence Interval",VA.PER.RNK.UPPER,58.4541053771973,59.3137245178223
Albania,ALB,Voice and Accountability: Standard Error,VA.STD.ERR,0.12435869127512,0.123266227543354
Algeria,DZA,Control of Corruption: Estimate,CC.EST,-0.638041079044342,-0.589308321475983
